batch_size,log_batch_size,total_time,throughput
1,0.0,1.442265510559082,177.49852445737523
2,1.0,1.469728946685791,348.3635544870703
4,2.0,1.4774978160858154,693.0636301803673
8,3.0,1.4867994785308838,1377.4554198953863
16,4.0,1.4935266971588135,2742.5020307919235
32,5.0,1.543001413345337,5309.133179754619
64,6.0,1.601593255996704,10229.813305378777
128,7.0,1.805992841720581,18144.036478451217
256,8.0,2.377720355987549,27562.534776206117
512,9.0,3.7711620330810547,34756.395734317906
1024,10.0,7.176506280899048,36528.08062019274
